BrNumber,BrName,Street,City,State,ZipCode,phone,MgrID,ServerConnectedToSerialNo
103,lorem,102 Curabitur St.,Aurora,Delaware,82196,(483) 510-1380,103,SEA2C586-88ED-A0A3-0C13-EECA13E394AB
105,Aenean,103 Curabitur St.,Little Rock,Missouri,65261,(669) 493-6563,105,6A380749-276E-7EFA-CBE4-9DF9C387D2CF
107,pellentesque.,104 Curabitur St.,Biloxi,Oregon,65261,(683) 472-8625,107,6A380749-276E-7EFA-CBE4-9DF9C387D2CF
108,ac,105 Curabitur St.,Columbia,Minnesota,78451,(675) 185-4431,108,76F956F1-3AB7-399F-6B4D-7DA37EC9992E
111,magna.,106 Curabitur St.,Dallas,Wisconsin,78451,(669) 443-9686,111,76F956F1-3AB7-399F-6B4D-7DA37EC9992E
112,sem,107 Curabitur St.,Billings,Oregon,78451,(182) 638-1523,112,76F956F1-3AB7-399F-6B4D-7DA37EC9992E
121,vitae,108 Curabitur St.,Waterbury,Louisiana,77034,(366) 248-7627,121,BD5F40F4-6ABD-34C8-347D-7666589EDBFF
128,amet,109 Curabitur St.,Nashville,Oregon,72206,(694) 468-7771,128,D65820E6-B4C3-C4C1-38AC-99D69184C3C1
133,magna.,110 Curabitur St.,Baton Rouge,Oklahoma,76041,(888) 928-4824,133,DDD66138-59CA-4A78-6461-1CE94776DA8D
135,fermentum,111 Curabitur St.,Clarksville,Tennessee,76041,(421) 186-5793,135,DDD66138-59CA-4A78-6461-1CE94776DA8D
137,ligula.,112 Curabitur St.,Fort Worth,Idaho,76041,(446) 557-9258,137,DDD66138-59CA-4A78-6461-1CE94776DA8D
139,nisi.,113 Curabitur St.,Seattle,Minnesota,76041,(407) 530-1406,139,DDD66138-59CA-4A78-6461-1CE94776DA8D
142,nunc.,114 Curabitur St.,Duluth,Indiana,71853,(528) 823-2135,142,B62D1AF2-1FB7-9EA3-D1B3-2A6E886401B8
147,magna.,115 Curabitur St.,Portland,Ohio,71853,(727) 888-0626,147,B62D1AF2-1FB7-9EA3-D1B3-2A6E886401B8
