,precision,recall,f1-score,support
airplane,0.8989205103042198,0.916,0.9073798910351659,1000.0
automobile,0.9353905496624879,0.97,0.9523809523809523,1000.0
bird,0.8142470694319206,0.903,0.8563300142247511,1000.0
cat,0.731433506044905,0.847,0.7849860982391103,1000.0
deer,0.8804347826086957,0.891,0.885685884691849,1000.0
dog,0.8915254237288136,0.789,0.8371352785145889,1000.0
frog,0.8999028182701652,0.926,0.9127649088220798,1000.0
horse,0.9688888888888889,0.872,0.9178947368421052,1000.0
ship,0.9558067831449126,0.93,0.94272681196148,1000.0
truck,0.9863325740318907,0.866,0.9222577209797657,1000.0
accuracy,0.891,0.891,0.891,0.891
macro avg,0.8962882906116899,0.891,0.8919542297691848,10000.0
weighted avg,0.89628829061169,0.891,0.8919542297691849,10000.0
